0 17
1 86
2 228
3 564
4 1111
5 2071
6 3548
7 5945
8 9517
9 14427
10 20787
11 28280
12 36678
13 45418
14 53990
15 62182
16 69722
17 76215
18 82167
19 87063
20 90986
21 94504
22 97586
23 99959
24 102037
25 103684
26 105040
27 106125
28 107128
29 108059
30 108829
31 109541
32 110018
33 110360
34 110733
35 111112
36 111510
37 111686
38 111759
39 111978
40 112182
41 112357
42 112474
43 112632
44 112951
45 113051
46 112930
47 112813
48 112782
49 112797
50 113070
51 113051
52 112984
53 112981
54 113203
55 113200
56 113080
57 113287
58 113108
59 113171
60 113265
61 113028
62 113177
63 113216
64 113305
65 113360
66 113215
67 113162
68 113225
69 113247
70 113310
71 113339
72 113357
73 113428
74 113164
75 113244
76 113191
77 113040
78 113055
79 113123
80 113200
81 113251
82 112991
83 113055
