0 1
1 5
2 6
3 8
4 15
5 16
6 22
7 33
8 59
9 133
10 288
11 609
12 1465
13 2702
14 4348
15 7001
16 10458
17 14707
18 19386
19 24407
20 29421
21 34179
22 38707
23 42999
24 47260
25 51296
26 54892
27 58193
28 61234
29 64095
30 66778
31 69095
32 71238
33 73343
34 75037
35 76490
36 77916
37 79307
38 80235
39 81128
40 82010
41 83066
42 83874
43 84615
44 85305
45 85875
46 86249
47 86727
48 86878
49 87332
50 87678
51 88199
52 88557
53 88856
54 89113
55 89182
56 89469
57 89534
58 89850
59 89987
60 90108
61 90338
62 90596
63 90551
64 90685
65 90767
66 90906
67 90996
68 91069
69 91009
70 91183
71 91191
72 91295
73 91481
74 91346
75 91461
76 91729
77 91824
78 91847
79 91989
80 91929
81 92069
82 92083
83 92090
