1 343
2 2632
3 11616
4 35935
5 79730
6 132442
7 178105
8 211493
9 233816
10 248105
11 257119
12 263143
13 267200
14 269584
15 271748
16 273059
17 274086
18 274576
19 275353
20 275649
21 275967
22 276579
23 276649
24 276596
25 276794
26 276572
27 276763
28 276787
29 276719
30 276923
31 276814
32 276824
33 276875
34 277016
35 276937
36 276943
37 276936
38 276789
39 276679
40 276724
41 276544
42 276758
43 276779
44 277093
45 276817
46 276768
47 276643
48 276777
49 276996
50 277098
51 277104
52 277008
53 277036
54 276862
55 276927
56 277032
57 277270
58 277375
59 277131
60 277070
61 277391
62 276962
63 277139
64 277066
65 276985
66 276954
67 276878
68 276936
69 277217
70 277149
71 277102
72 277065
73 277098
74 276984
75 276824
76 276766
77 277011
78 277212
79 277159
80 277111
81 276963
82 277311
83 277083
84 276964

