     0          0.00000631
     1          0.00001749
     2          0.00023536
     3          0.00293498
     4          0.02678412
     5          0.12683161
     6          0.27375637
     7          0.28612150
     8          0.17343817
     9          0.07193441
    10          0.02512867
    11          0.00864679
    12          0.00293795
    13          0.00090236
    14          0.00024649
    15          0.00006017
    16          0.00001328
    17          0.00000312
    18          0.00000064
    19          0.00000020
    20          0.00000003
