0 1
1 1
2 2
3 3
4 3
5 4
6 8
7 15
8 19
9 37
10 132
11 357
12 1335
13 4663
14 10932
15 18726
16 27201
17 35174
18 42110
19 48228
20 53515
21 57786
22 61555
23 64637
24 67530
25 69766
26 71583
27 73266
28 74672
29 75910
30 76912
31 77904
32 78697
33 79366
34 80027
35 80680
36 81292
37 81797
38 82134
39 82495
40 82827
41 83190
42 83174
43 83178
44 83301
45 83521
46 83628
47 83767
48 83911
49 84057
50 84226
51 84233
52 84050
53 84222
54 84291
55 84449
56 84403
57 84306
58 84423
59 84458
60 84575
61 84565
62 84589
63 84659
64 84805
65 84819
66 84845
67 84947
68 84841
69 84816
70 84891
71 85017
72 85144
73 85097
74 85116
75 85269
76 85319
77 85165
78 85368
79 85231
80 85287
81 85300
82 85347
83 85152
