     0          0.00000631
     1          0.00001912
     2          0.00025204
     3          0.00308720
     4          0.02819430
     5          0.13421649
     6          0.28165467
     7          0.28176147
     8          0.16505473
     9          0.07069443
    10          0.02474126
    11          0.00731286
    12          0.00215466
    13          0.00062717
    14          0.00016998
    15          0.00004215
    16          0.00000923
    17          0.00000153
    18          0.00000035
    19          0.00000004
    20          0.00000001
